COL_8,COL_7,FOND_SC_CODE,COL_6,COL_5,COL_4,COL_3,SCHUL_KND_SC_CODE,COL_2,COL_1,ADRCD_NM,COL_FGR_SUM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,AVG_FGR_SUM,JU_ORG_CODE,PBAN_EXCP_YN,SP_SUM,SCHUL_CODE,SP_FGR_SUM,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,ADRCD_CD,COL_SUM,BNHH_YN,SCHUL_NM,_학교급,_시군구,DGHT_CRSE_SC_CODE,HS_KND_SC_NM,학생수,특수학급학생수,학급수,특수학급수
0,1,공립,1.0,1.0,1.0,1,02,1,1,경상북도 포항시 남구,42(2),경상북도포항교육지원청,경상북도교육청,6.0,R100000619,N,1,S150003555,2,R100000001,16,4711125021,7(1),N,구룡포초등학교,초등학교,포항시남구,,,42,2,7,1
0,2,공립,4.0,4.0,4.0,3,02,3,2,경상북도 포항시 남구,387(7),경상북도포항교육지원청,경상북도교육청,17.6,R100000619,N,2,S150003557,7,R100000001,16,4711125631,22(2),N,구정초등학교,초등학교,포항시남구,,,387,7,22,2
0,1,공립,1.0,1.0,1.0,0,02,1,0,경상북도 포항시 남구,19(2),경상북도포항교육지원청,경상북도교육청,3.8,R100000619,N,1,S150003566,2,R100000001,16,4711131026,5(1),N,남성초등학교,초등학교,포항시남구,,,19,2,5,1
0,2,공립,2.0,2.0,1.0,1,02,2,1,경상북도 포항시 남구,191(9),경상북도포항교육지원청,경상북도교육청,17.4,R100000619,N,2,S150003570,9,R100000001,16,4711110200,11(2),N,대도초등학교,초등학교,포항시남구,,,191,9,11,2
0,0,공립,1.0,1.0,1.0,0,02,0,0,경상북도 포항시 남구,9(0),경상북도포항교육지원청,경상북도교육청,3.0,R100000619,N,0,S150003572,0,R100000001,16,4711135023,3(0),N,대보초등학교,초등학교,포항시남구,,,9,0,3,0
0,1,공립,1.0,1.0,1.0,1,02,1,1,경상북도 포항시 남구,28(5),경상북도포항교육지원청,경상북도교육청,4.0,R100000619,N,1,S150003574,5,R100000001,16,4711131027,7(1),N,대송초등학교,초등학교,포항시남구,,,28,5,7,1
0,1,공립,2.0,2.0,2.0,2,02,1,1,경상북도 포항시 남구,197(6),경상북도포항교육지원청,경상북도교육청,17.9,R100000619,N,1,S150003578,6,R100000001,16,4711110200,11(1),N,대해초등학교,초등학교,포항시남구,,,197,6,11,1
0,2,공립,3.0,3.0,3.0,2,02,2,2,경상북도 포항시 남구,265(8),경상북도포항교육지원청,경상북도교육청,15.6,R100000619,N,2,S150003580,8,R100000001,16,4711132021,17(2),N,동해초등학교,초등학교,포항시남구,,,265,8,17,2
0,2,공립,6.0,6.0,5.0,3,02,3,3,경상북도 포항시 남구,525(11),경상북도포항교육지원청,경상북도교육청,18.8,R100000619,N,2,S150003586,11,R100000001,16,4711125622,28(2),N,문덕초등학교,초등학교,포항시남구,,,525,11,28,2
0,1,공립,1.0,1.0,1.0,1,02,1,0,경상북도 포항시 남구,47(4),경상북도포항교육지원청,경상북도교육청,7.8,R100000619,N,1,S150003587,4,R100000001,16,4711125626,6(1),N,문충초등학교,초등학교,포항시남구,,,47,4,6,1
0,2,공립,2.0,2.0,1.0,1,02,1,1,경상북도 포항시 남구,142(9),경상북도포항교육지원청,경상북도교육청,14.2,R100000619,N,2,S150003594,9,R100000001,16,4711110200,10(2),N,상대초등학교,초등학교,포항시남구,,,142,9,10,2
0,1,공립,1.0,2.0,1.0,1,02,1,1,경상북도 포항시 남구,101(3),경상북도포항교육지원청,경상북도교육청,12.6,R100000619,N,1,S150003601,3,R100000001,16,4711110400,8(1),N,송림초등학교,초등학교,포항시남구,,,101,3,8,1
0,1,공립,2.0,2.0,2.0,2,02,1,2,경상북도 포항시 남구,219(6),경상북도포항교육지원청,경상북도교육청,18.3,R100000619,N,1,S150003606,6,R100000001,16,4711110100,12(1),N,신흥초등학교,초등학교,포항시남구,,,219,6,12,1
0,0,공립,1.0,1.0,1.0,1,02,1,0,경상북도 포항시 남구,26(0),경상북도포항교육지원청,경상북도교육청,5.2,R100000619,N,0,S150003607,0,R100000001,16,4711133026,5(0),N,양포초등학교,초등학교,포항시남구,,,26,0,5,0
0,3,공립,6.0,5.0,4.0,4,02,3,2,경상북도 포항시 남구,483(15),경상북도포항교육지원청,경상북도교육청,17.9,R100000619,N,3,S150003610,15,R100000001,16,4711125321,27(3),N,연일초등학교,초등학교,포항시남구,,,483,15,27,3
0,2,공립,3.0,2.0,2.0,1,02,2,1,경상북도 포항시 남구,208(9),경상북도포항교육지원청,경상북도교육청,16.0,R100000619,N,2,S150003611,9,R100000001,16,4711125321,13(2),N,연일형산초등학교,초등학교,포항시남구,,,208,9,13,2
0,3,공립,3.0,3.0,2.0,2,02,1,2,경상북도 포항시 남구,222(15),경상북도포항교육지원청,경상북도교육청,13.9,R100000619,N,3,S150003612,15,R100000001,16,4711125630,16(3),N,오천초등학교,초등학교,포항시남구,,,222,15,16,3
0,2,공립,7.0,6.0,5.0,4,02,4,3,경상북도 포항시 남구,602(9),경상북도포항교육지원청,경상북도교육청,19.4,R100000619,N,2,S150003615,9,R100000001,16,4711125325,31(2),N,유강초등학교,초등학교,포항시남구,,,602,9,31,2
0,2,공립,6.0,6.0,6.0,4,02,4,3,경상북도 포항시 남구,671(11),경상북도포항교육지원청,경상북도교육청,21.6,R100000619,N,2,S150003617,11,R100000001,16,4711111600,31(2),N,이동초등학교,초등학교,포항시남구,,,671,11,31,2
0,2,공립,4.0,5.0,4.0,4,02,4,3,경상북도 포항시 남구,566(13),경상북도포항교육지원청,경상북도교육청,21.8,R100000619,N,2,S150003618,13,R100000001,16,4711111200,26(2),N,인덕초등학교,초등학교,포항시남구,,,566,13,26,2
0,0,공립,1.0,1.0,1.0,1,02,1,1,경상북도 포항시 남구,41(0),경상북도포항교육지원청,경상북도교육청,6.8,R100000619,N,0,S150003620,0,R100000001,16,4711133022,6(0),N,장기초등학교,초등학교,포항시남구,,,41,0,6,0
0,1,공립,1.0,1.0,1.0,1,02,1,1,경상북도 포항시 남구,59(4),경상북도포항교육지원청,경상북도교육청,8.4,R100000619,N,1,S150003641,4,R100000001,16,4711110500,7(1),N,청림초등학교,초등학교,포항시남구,,,59,4,7,1
0,1,공립,1.0,1.0,1.0,1,02,1,1,경상북도 포항시 남구,81(4),경상북도포항교육지원청,경상북도교육청,11.6,R100000619,N,1,S150003651,4,R100000001,16,4711110400,7(1),N,포항송도초등학교,초등학교,포항시남구,,,81,4,7,1
0,0,사립,9.0,8.0,6.0,5,02,5,3,경상북도 포항시 남구,898(0),경상북도포항교육지원청,경상북도교육청,24.9,R100000619,N,0,S150003653,0,R100000001,16,4711111500,36(0),N,포항제철초등학교,초등학교,포항시남구,,,898,0,36,0
0,2,사립,6.0,8.0,7.0,8,02,7,8,경상북도 포항시 남구,1320(13),경상북도포항교육지원청,경상북도교육청,28.7,R100000619,N,2,S150003655,13,R100000001,16,4711111500,46(2),N,포항제철지곡초등학교,초등학교,포항시남구,,,1320,13,46,2
0,1,공립,7.0,7.0,7.0,6,02,6,5,경상북도 포항시 남구,948(6),경상북도포항교육지원청,경상북도교육청,24.3,R100000619,N,1,S150003661,6,R100000001,16,4711111400,39(1),N,효자초등학교,초등학교,포항시남구,,,948,6,39,1
0,1,공립,3.0,2.0,2.0,2,02,2,2,경상북도 포항시 남구,279(6),경상북도포항교육지원청,경상북도교육청,19.9,R100000619,N,1,S150006258,6,R100000001,16,4711111600,14(1),N,대이초등학교,초등학교,포항시남구,,,279,6,14,1
0,3,공립,8.0,8.0,7.0,5,02,4,5,경상북도 포항시 남구,806(15),경상북도포항교육지원청,경상북도교육청,20.2,R100000619,N,3,S150006312,15,R100000001,16,4711125621,40(3),N,포항원동초등학교,초등학교,포항시남구,,,806,15,40,3
0,0,공립,3.0,3.0,4.0,4,02,3,4,경상북도 포항시 남구,417(0),경상북도포항교육지원청,경상북도교육청,19.9,R100000619,N,0,S150006614,0,R100000001,16,4711125627,21(0),N,포항용산초등학교,초등학교,포항시남구,,,417,0,21,0
0,1,공립,,,,1,03,1,1,경상북도 포항시 남구,25(3),경상북도포항교육지원청,경상북도교육청,6.3,R100000619,N,1,S150003512,3,R100000001,16,4711125000,4(1),N,구룡포중학교,중학교,포항시남구,주간,,25,3,4,1
