ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,SD_SCHUL_CODE,SCHUL_NM,ENG_SCHUL_NM,SCHUL_KND_SC_NM,LCTN_SC_NM,JU_ORG_NM,FOND_SC_NM,ORG_RDNZC,ORG_RDNMA,ORG_RDNDA,ORG_TELNO,HMPG_ADRES,COEDU_SC_NM,ORG_FAXNO,HS_SC_NM,INDST_SPECL_CCCCL_EXST_YN,HS_GNRL_BUSNS_SC_NM,SPCLY_PURPS_HS_ORD_NM,ENE_BFE_SEHF_SC_NM,DGHT_SC_NM,FOND_YMD,FOAS_MEMRD,LOAD_DTM
R10,경상북도교육청,       ,(가칭)호명중학교,(가칭)호명중학교,중학교,경상북도,경상북도예천교육지원청,공립,36828 ,경상북도 예천군 예천읍 중앙로 40-5,예천교육지원청,054-654-4477,http://,남여공학,,,N,,,전기,주간,20270301,20270301,20260621
R10,경상북도교육청,8941039,가산초등학교,Gasan Elementary School,초등학교,경상북도,경상북도칠곡교육지원청,공립,39852 ,경상북도 칠곡군 가산면 경북대로 1500,"(가산면, 가산초등학교)",054-971-7570,https://school.gyo6.net/kcgasan,남여공학,054-974-2399,,N,일반계,,전기,주간,19350702,19350702,20260423
R10,경상북도교육청,8750075,가은고등학교,Gaeun High School,고등학교,경상북도,경상북도교육청,공립,36995 ,경상북도 문경시 가은읍 가은로 205,", 가은고등학교 (가은읍, 가은중학교,가은고등학교)",054-572-0101,https://school.gyo6.net/gago,남여공학,054-572-0105,일반고,N,일반계,,전기,주간,19741107,19741107,20260423
R10,경상북도교육청,8841053,가은중학교,Gaeun Middle School,중학교,경상북도,경상북도문경교육지원청,공립,36995 ,경상북도 문경시 가은읍 가은로 205,가은중학교,054-571-6404,https://school.gyo6.net/gaeun,남여공학,054-571-6180,,N,일반계,,전기,주간,19530408,19530408,20260423
R10,경상북도교육청,8841033,가은초등학교,Gaeun Elementary School,초등학교,경상북도,경상북도문경교육지원청,공립,36996 ,경상북도 문경시 가은읍 가은로 129,"(가은읍, 가은초등학교)",054-571-6280,https://school.gyo6.net/gaeun6280,남여공학,054-571-5383,,N,일반계,,전기,주간,19300825,19300925,20260423
R10,경상북도교육청,8931022,가천초등학교,Gacheon Elementary School,초등학교,경상북도,경상북도성주교육지원청,공립,40060 ,경상북도 성주군 가천면 가천로 52,", 가천초등학교 (가천면, 가천초등학교)",054-932-4017,https://school.gyo6.net/gacheon,남여공학,054-932-5589,,N,일반계,,전기,주간,19190616,19190616,20260423
R10,경상북도교육청,8911024,각남초등학교,Gangnam Elementary School,초등학교,경상북도,경상북도청도교육지원청,공립,38321 ,경상북도 청도군 각남면 각남로 59,"(각남면, 각남초등학교)",054-372-6086,https://school.gyo6.net/kaknames,남여공학,054-373-7076,,N,일반계,,전기,주간,19360720,19360720,20260423
R10,경상북도교육청,8781078,감문중학교,Gammun Middle School,중학교,경상북도,경상북도김천교육지원청,공립,39509 ,경상북도 김천시 감문면 감문로 1113,"(감문면, 감문중학교)",054-430-5016,https://school.gyo6.net/gammunms,남여공학,054-432-8377,,N,일반계,,전기,주간,19530423,19530423,20260423
R10,경상북도교육청,8951029,감천중학교,Gamcheon Middle School,중학교,경상북도,경상북도예천교육지원청,공립,36810 ,경상북도 예천군 감천면 충효로 1429,"(감천면, 감천중학교)",054-652-6516,https://school.gyo6.net/gamch,남여공학,054-652-6561,,N,일반계,,전기,주간,19540517,19540613,20260423
R10,경상북도교육청,8781044,감천초등학교,Gamcheon Elementary School,초등학교,경상북도,경상북도김천교육지원청,공립,39681 ,경상북도 김천시 감천면 금감로 1550-2,"(감천면, 감천초등학교)",054-431-0006,https://school.gyo6.net/gmes,남여공학,054-439-9097,,N,일반계,,전기,주간,19350612,19350612,20260423
R10,경상북도교육청,8951018,감천초등학교,Gamcheon Elementary School,초등학교,경상북도,경상북도예천교육지원청,공립,36810 ,경상북도 예천군 감천면 충효로 1395,"(감천면,감천초등학교)",054-652-7152,https://school.gyo6.net/ycgamcheones,남여공학,054-652-2703,,N,일반계,,전기,주간,19260801,19260801,20260423
R10,경상북도교육청,8771116,감포중학교,Gampo Middle School,중학교,경상북도,경상북도경주교육지원청,공립,38125 ,경상북도 경주시 감포읍 감포로12길 20,"(감포읍, 감포중학교/감포종합중고등학교)",054-744-3633,https://school.gyo6.net/gampo,남여공학,054-744-3632,,N,일반계,,전기,주간,19480710,19480710,20260423
R10,경상북도교육청,8771050,감포초등학교,Gampo Elementary School,초등학교,경상북도,경상북도경주교육지원청,공립,38125 ,경상북도 경주시 감포읍 감포로10길 21,", 감포초등학교 (감포읍, 감포초등학교)",054-776-2683,https://school.gyo6.net/gampoes,남여공학,054-776-2686,,N,일반계,,전기,주간,19420401,19420401,20260423
R10,경상북도교육청,8901036,강구중학교,Ganggu Middle School,중학교,경상북도,경상북도영덕교육지원청,공립,36460 ,경상북도 영덕군 강구면 신강구1길 45-5,"(강구면, 강구중학교)",054-733-4034,https://school.gyo6.net/ganggums,남여공학,054-734-1334,,N,일반계,,전기,주간,19530401,19530401,20260423
R10,경상북도교육청,8901021,강구초등학교,Ganggu Elementary School,초등학교,경상북도,경상북도영덕교육지원청,공립,36458 ,경상북도 영덕군 강구면 나비산길 8,"(강구면,강구초등학교)",054-733-5422,http://ganggu.school.gyo6.net,남여공학,054-732-0603,,N,일반계,,전기,주간,19350406,19350421,20260423
R10,경상북도교육청,8771068,강동초등학교,Gangdong Elementary School,초등학교,경상북도,경상북도경주교육지원청,공립,38004 ,경상북도 경주시 강동면 강동로 80,"(강동면,강동초등학교)",054-762-3264,http://school.gyo6.net/gdonges,남여공학,054-762-5920,,N,일반계,,전기,주간,19491119,19491119,20260423
R10,경상북도교육청,8781045,개령서부초등학교,Gaeryeong Seobu Elementary School,초등학교,경상북도,경상북도김천교육지원청,공립,39516 ,경상북도 김천시 개령면 감문로 277,"(개령면, 개령서부초등학교)",054-436-5272,school.gyo6.net/gaeseoes,남여공학,054-436-7633,,N,일반계,,전기,주간,19461211,19461211,20260423
R10,경상북도교육청,8781079,개령중학교,Gaeryeong Middle School,중학교,경상북도,경상북도김천교육지원청,공립,39515 ,경상북도 김천시 개령면 서부3길 89,"(개령면, 개령중학교)",054-436-5004,https://school.gyo6.net/gaeryeongms,남여공학,054-436-7850,,N,일반계,,전기,주간,19520401,19520401,20260423
R10,경상북도교육청,8781046,개령초등학교,Gaeryeong Elementary School,초등학교,경상북도,경상북도김천교육지원청,공립,39515 ,경상북도 김천시 개령면 동부길 60,"(개령면, 개령초등학교)",054-436-5011,https://school.gyo6.net/gaeryeong,남여공학,054-436-7011,,N,일반계,,전기,주간,19090409,19090409,20260423
R10,경상북도교육청,8921017,개진초등학교,Gaejin Elementary School,초등학교,경상북도,경상북도고령교육지원청,공립,40148 ,경상북도 고령군 개진면 오사길 83,"(개진면, 개진초등학교 고령중학교개진분교)",054-954-8594,https://school.gyo6.net/gaejin,남여공학,054-954-8595,,N,일반계,,전기,주간,19321203,19321203,20260423
R10,경상북도교육청,8821033,거여초등학교,Geoyeo Elementary School,초등학교,경상북도,경상북도영천교육지원청,공립,38875 ,경상북도 영천시 금호읍 관정1길 31,"(금호읍,거여초등학교)",054-337-2237,https://school.gyo6.net/gyschool,남여공학,054-338-2237,,N,일반계,,전기,주간,19600921,19600921,20260423
R10,경상북도교육청,8771069,건천초등학교,GeonCheon Elementary School,초등학교,경상북도,경상북도경주교육지원청,공립,38178 ,경상북도 경주시 건천읍 내서로 1105,", 건천초등학교 (건천읍)",054-751-6538,https://school.gyo6.net/geoncheon/main.do?sysId=geoncheon,남여공학,054-751-6289,,N,일반계,,전기,주간,19200710,19200710,20260423
R10,경상북도교육청,8750143,경구고등학교,Gyeonggu High School,고등학교,경상북도,경상북도교육청,사립,39209 ,경상북도 구미시 봉곡로9길 25,", 경구고등학교 (봉곡동)",054-442-0300,https://school.gyo6.net/kghs,남,054-442-0303,일반고,N,일반계,,전기,주간,19840514,19840514,20260423
